"shapeid","x","y","OBJECTID","LSN","POI_NAME","POI_TYPE","POI_SOURCE","PHONE_NUM","GLOBALID","WEBSITE"
"0","-82.9381265467387","39.818591796909594","5701253","7250 STAR CHECK DR","Rickenbacker Aviation","Transportation - Airport","NULL","614-409-3660","{126B67B3-1A51-48F8-9EEB-8967F1CC77B1}","NULL"
"1","-83.00190248847399","39.963316426634364","5700993","40 N FRONT ST","LeVeque Tower Garage","Transportation - Parking Lot/Garage","NULL","NULL","{AD3C4E36-670F-4C01-8D6D-C4BF77EFD65C}","https://www.lazparking.com/local/columbus--oh/leveque-tower-garage"
"2","-83.13481991998147","40.014756640001934","5701071","3024 CHARTER ST","Ryder Ubtegrated Logistics","Transportation - Other","NULL","NULL","{B7F2EF83-90B3-4E3B-B3C2-E5DAE99ED91A}","NULL"
"3","-83.00509687857488","39.97045213677412","5701692","441 N FRONT ST","Arena Crossing Garage","Transportation - Parking Lot/Garage","NULL","NULL","{D50441E7-A99B-4C29-9A6C-2AE70A7DA76C}","https://columbusparking.spplus.com/345-front-st.html"
"4","-82.90660937982098","40.02124081033229","5701699","3882 AGLER RD","1 Buck Logistics Trucking","Transportation - Other","NULL","NULL","{7FE95CF7-D5EB-4E24-AFB1-FF74B7D3839E}","NULL"
"5","-83.12543251127039","39.97312194545832","5701700","4540 FISHER RD","Windstar Trucking Company","Transportation - Other","NULL","NULL","{711F9FD9-8501-4EDB-BA0C-7C16D92C1F2E}","NULL"
"6","-83.0166480541691","39.992973693868066","5701663","355 W 9TH AVE","9th Ave East Garage","Transportation - Parking Lot/Garage","NULL","NULL","{3A53F214-B683-43AF-8D4F-799C9B23CF40}","https://www.lazparking.com/local/columbus-oh/9th-avenue-east-garage"
"7","-83.0061046121731","40.11700595691966","5701435","7500 HUNTINGTON PARK DR","COTA Park & Ride - Crosswoods","Transportation - Bus","NULL","NULL","{ACAEC72D-DD30-426A-9417-2DAE0D0E9141}","NULL"
"8","-82.97857328548115","39.95073384095245","5701453","733 E LIVINGSTON AVE","Ronald McDonald House & Hospital Staff Parking","Transportation - Parking Lot/Garage","NULL","NULL","{8CF6AF9F-D328-454C-BE3D-7B53AC7AC39C}","NULL"
"9","-82.99027032901712","39.970116014591795","5701464","322 CLEVELAND AVE","CSCC 1-E Parking Lot","Transportation - Parking Lot/Garage","NULL","NULL","{70C8E22C-908E-4B3B-86FE-0AFB785148BA}","http://www.cscc.edu/about/columbus/pdf/map.pdf"
"10","-82.86953406159901","39.93117293366039","5700694","4740 GROVES RD","Realm Logistics","Transportation - Other","NULL","NULL","{C37F1A63-D888-46F8-A0AB-A791304FEE97}","NULL"
"11","-83.13294050565985","39.915703518177025","5700762","5075 KRIEGER CT","Vitran Express","Transportation - Other","NULL","NULL","{E8395868-BA72-4E54-861F-3B474BD054AF}","NULL"
"12","-82.99867227850743","39.965084374562906","5700544","89 E LONG ST","SW Corner of Long & 3rd Lot","Transportation - Parking Lot/Garage","NULL","NULL","{BE5F577C-5D2A-4BE0-B471-1BA9DFCD276B}","https://portal.park-ops.com/index.php?cPath=17"
"13","-83.02348951012806","39.95713326217241","5709623","109 S HARTFORD AVE","Mount Carmel Employee Parking Lot E","Transportation - Parking Lot/Garage","NULL","NULL","{1831BF1B-374D-4799-8062-A1B3CB287220}","NULL"
"14","-83.07172104735137","39.96985364088632","5709547","700 HARRISON DR","Franklin Specialty Transport","Transportation - Other","NULL","614-529-7900","{997D1EE4-A434-40FC-B087-43CE95A2A867}","NULL"
"15","-82.97660755228252","39.953873769295264","5709328","527 S 18TH ST","Outpatient Care Parking Garage","Transportation - Parking Lot/Garage","NULL","NULL","{FE2319DF-03C6-47A1-AE18-1A72A99DB535}","NULL"
"16","-83.14728789037132","39.95056027292223","5709341","55 WESTWOODS BLVD","COTA Park & Ride - Westwoods","Transportation - Bus","NULL","NULL","{B309026F-3718-49C6-925D-AE6B156D0B4B}","http://www.cota.com/park-and-ride.aspx"
"17","-83.0005448035453","39.88588864015602","5709364","3713 1/2 S HIGH ST","COTA Park & Ride - Great Southern","Transportation - Bus","NULL","NULL","{5E3BDE37-A4F6-470E-93CB-FFFC066A0ED9}","NULL"
"18","-82.92255040749241","39.99451208503712","5709374","1120 RARIG AVE","Bridge Brothers Trucking","Transportation - Other","NULL","NULL","{02BDBC10-15C1-4F4B-B632-4E8D066F0113}","NULL"
"19","-82.93912720967108","39.893136920469665","5709477","2020 E WILLIAMS RD","CMH Specialized Transportation","Transportation - Other","NULL","NULL","{323E951F-A072-4366-89DB-ECB03A3963AB}","NULL"
"20","-82.98604758309126","39.96780017384132","5709484","573 E SPRING ST","CSCC 31-S Parking Lot","Transportation - Parking Lot/Garage","NULL","NULL","{CCAB58A1-5B2C-4F6D-A063-465C2DA3119A}","http://www.cscc.edu/about/columbus/pdf/map.pdf"
"21","-83.04463016541239","39.96366121079203","5711794","1601 MCKINLEY AVE","Ward Trucking Corp","Transportation - Other","NULL","NULL","{4074D715-E419-42F5-88C6-673342867C6C}","NULL"
"22","-83.00231905480436","39.95459968629432","5711708","110 W MOUND ST","114 W Mound St Lot","Transportation - Parking Lot/Garage","NULL","NULL","{3BF9EE6D-E03D-4022-A43F-16703A7BAD69}","https://www.parkplaceparking.com/parking-lot-details/21"
"23","-82.97937616573266","39.95413186297082","5711715","727 MOOBERRY ST","Staff Parking Garage","Transportation - Parking Lot/Garage","NULL","NULL","{8BC3789D-19EB-418D-8623-B31F8B711835}","NULL"
"24","-83.12462696123728","40.00132860787657","5711469","2365 WESTBELT DR","CSX Intermodal Terminals","Transportation - Rail","NULL","NULL","{5CA584C0-F98D-4132-BF37-F653B6368ABB}","NULL"
